"","Index","player_name","ContractYear","Age","Current Year Salary","year","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"113",112,"Alec Burks",2015,"27",9213484,2015,"72","Alec Burks","SG","23","UTA","27","27","899","121","300",".403","26","68",".382","95","232",".409",".447","106","129",".822","19","95","114","82","17","5","52","64","374"
"114",113,"Jon Leuer",2016,"29",10991957,2016,"265","Jon Leuer","PF","26","PHO","67","27","1255","224","466",".481","42","110",".382","182","356",".511",".526","77","101",".762","76","297","373","72","38","30","75","125","567"
"115",114,"Norman Powell",2018,"25",9367200,2018,"413","Norman Powell","SG","24","TOR","70","18","1062","150","374",".401","53","186",".285","97","188",".516",".472","32","39",".821","14","105","119","89","37","16","66","111","385"
"116",115,"Josh Richardson",2018,"25",9367200,2018,"426","Josh Richardson","SF","24","MIA","81","81","2689","399","885",".451","127","336",".378","272","549",".495",".523","120","142",".845","69","216","285","231","121","75","140","199","1045"
"117",116,"Meyers Leonard",2016,"26",9213484,2016,"264","Meyers Leonard","PF","23","POR","61","10","1333","195","435",".448","86","228",".377","109","207",".527",".547","35","46",".761","51","263","314","92","8","18","77","183","511"
"118",117,"Mason Plumlee",2017,"28",14041096,2017,"358","Mason Plumlee","C","26","TOT","81","64","2148","334","623",".536","0","6",".000","334","617",".541",".536","174","300",".580","170","435","605","284","69","92","134","226","842"
"119",118,"Danny Green",2015,"31",1e+07,2015,"183","Danny Green","SG","27","SAS","81","80","2312","322","738",".436","191","457",".418","131","281",".466",".566","111","127",".874","54","289","343","158","101","87","93","163","946"
"120",119,"Iman Shumpert",2015,"28",8988765,2015,"407","Iman Shumpert","SG","24","TOT","62","25","1545","193","471",".410","67","196",".342","126","275",".458",".481","43","64",".672","55","169","224","135","81","16","91","138","496"
"121",120,"Matthew Dellavedova",2016,"28",9607500,2016,"113","Matthew Dellavedova","PG","25","CLE","76","14","1867","207","511",".405","98","239",".410","109","272",".401",".501","57","66",".864","33","129","162","337","44","9","116","178","569"
"122",121,"Jeremy Lin",2016,"30",11483254,2016,"267","Jeremy Lin","SG","27","CHO","78","13","2048","300","728",".412","76","226",".336","224","502",".446",".464","238","292",".815","42","211","253","235","58","42","150","165","914"
