"","Player","Tm","season17_18","Pos","Age","G","GS","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1","Aaron Gordon","ORL",5504420,"SF",21,80,72,2298,14.4,0.53,0.309,0.251,5.3,14.1,9.6,10.5,1.4,1.4,8.5,20.1,2,1.7,3.7,0.076,-0.2,-0.4,-0.7,0.8,393,865,0.454,77,267,0.288,316,598,0.528,0.499,156,217,0.719,116,289,405,150,64,40,89,172,1019
"2","Al Horford","BOS",27734405,"C",30,68,68,2193,17.7,0.553,0.302,0.169,4.9,18.6,11.8,24.4,1.2,3.3,11.9,19.8,3.6,2.7,6.3,0.137,1,2.1,3.1,2.8,379,801,0.473,86,242,0.355,293,559,0.524,0.527,108,135,0.8,95,369,464,337,52,87,116,138,952
"3","Al Jefferson","IND",9769821,"C",32,66,1,931,18.9,0.526,0.002,0.18,9.2,24.2,16.8,11,1,1.5,6.1,26.1,1.2,1.1,2.3,0.119,-1.5,-1.5,-3.1,-0.3,235,471,0.499,0,1,0,235,470,0.5,0.499,65,85,0.765,75,203,278,57,19,16,33,125,535
"4","Al-Farouq Aminu","POR",7319035,"SF",26,61,25,1773,11.3,0.506,0.455,0.292,4.8,23.5,14.1,7.9,1.7,2,15.2,15.4,-0.1,2,1.9,0.051,-2.3,1.2,-1.1,0.4,183,466,0.393,70,212,0.33,113,254,0.445,0.468,96,136,0.706,77,374,451,99,60,44,94,102,532
"5","Alan Williams","PHO",6e+06,"C",24,47,0,708,19.5,0.547,0.004,0.419,14,31.2,22.4,5.2,1.8,3.7,10.5,20.9,1.1,0.9,2.1,0.142,-1.8,0.2,-1.7,0.1,138,267,0.517,0,1,0,138,266,0.519,0.517,70,112,0.625,94,198,292,23,27,32,37,125,346
"6","Alec Burks","UTA",10845506,"SG",25,42,0,653,11.6,0.501,0.306,0.315,3.1,17.7,10.6,7.5,1.4,0.6,11,22.7,-0.1,0.9,0.8,0.056,-3.3,-0.9,-4.2,-0.4,99,248,0.399,25,76,0.329,74,172,0.43,0.45,60,78,0.769,17,103,120,30,18,5,35,50,283
"7","Alex Abrines","OKC",5725000,"SG",23,68,6,1055,10.1,0.56,0.724,0.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,1.2,0.9,2.1,0.095,-0.3,-2.2,-2.5,-0.1,134,341,0.393,94,247,0.381,40,94,0.426,0.531,44,49,0.898,18,68,86,40,37,8,33,114,406
"8","Alex Len","PHO",4187599,"C",23,77,34,1560,15,0.553,0.026,0.449,10.6,25.3,17.8,4.2,1.1,5.1,15.5,17.6,1.2,1.7,3,0.091,-3,1.2,-1.8,0.1,230,463,0.497,3,12,0.25,227,451,0.503,0.5,150,208,0.721,156,354,510,44,37,98,102,242,613
"9","Alexis Ajinca","NOP",4961798,"C",28,39,15,584,12.9,0.529,0.022,0.225,8.3,23.8,16,3.1,1.7,3.1,13.7,17.2,0,0.9,1,0.08,-5.1,1,-4.1,-0.3,89,178,0.5,0,4,0,89,174,0.511,0.5,29,40,0.725,46,131,177,12,20,22,31,77,207
"10","Andre Drummond","DET",23775506,"C",23,81,81,2409,20.9,0.518,0.008,0.39,15.1,36.3,25.3,5.9,2.6,3.1,12.5,22.4,1.4,5.3,6.7,0.133,-2.1,2.9,0.8,1.7,483,911,0.53,2,7,0.286,481,904,0.532,0.531,137,355,0.386,345,771,1116,89,124,89,152,237,1105
"11","Andre Iguodala","GSW",14814815,"SF",33,76,0,1998,14.4,0.624,0.427,0.246,3,13.1,8.3,16.7,1.8,1.5,11.2,11.2,4.1,2.9,6.9,0.167,1.3,1.7,3,2.5,219,415,0.528,64,177,0.362,155,238,0.651,0.605,72,102,0.706,51,253,304,262,76,39,58,97,574
"12","Andre Roberson","OKC",9259259,"SF",25,79,79,2376,9.6,0.51,0.397,0.24,4.6,14.2,9.4,4.6,1.9,2.7,9.1,10.1,1.1,3.1,4.2,0.085,-2.1,2.1,0,1.2,215,463,0.464,45,184,0.245,170,279,0.609,0.513,47,111,0.423,98,304,402,79,94,79,51,204,522
"13","Andrew Harrison","MEM",1312611,"PG",22,72,18,1474,8.7,0.477,0.433,0.539,1.7,9,5.3,20,1.9,1.3,16,16.4,0,1.5,1.6,0.051,-2.4,0,-2.5,-0.2,117,360,0.325,43,156,0.276,74,204,0.363,0.385,148,194,0.763,23,113,136,198,54,20,85,194,425
"14","Andrew Wiggins","MIN",7574322,"SF",21,82,82,3048,16.5,0.534,0.184,0.345,3.9,8.8,6.3,10.6,1.4,0.8,9.4,29,3.3,0.9,4.2,0.066,0.2,-2.9,-2.7,-0.6,709,1570,0.452,103,289,0.356,606,1281,0.473,0.484,412,542,0.76,103,226,329,189,82,30,187,183,1933
"15","Anthony Davis","NOP",23775506,"C",23,75,75,2708,27.5,0.579,0.088,0.424,6.7,27.9,17.3,11.1,1.7,5.1,9.1,32.6,5.9,5.1,11,0.196,1.4,2.3,3.7,3.9,770,1527,0.504,40,134,0.299,730,1393,0.524,0.517,519,647,0.802,174,712,886,157,94,167,181,168,2099
"16","Anthony Tolliver","SAC",2e+06,"PF",31,65,9,1477,11.1,0.595,0.655,0.234,4,14.5,9.3,7.7,1.1,1.2,12.6,13.6,1.5,0.8,2.3,0.075,0.2,-0.8,-0.6,0.5,155,351,0.442,90,230,0.391,65,121,0.537,0.57,61,82,0.744,51,188,239,77,33,20,56,109,461
"17","Arron Afflalo","SAC",1500000,"SG",31,61,45,1580,9,0.559,0.36,0.221,0.7,8.4,4.6,7.4,0.7,0.4,8.4,14.4,1.2,0.2,1.4,0.043,-1.4,-2,-3.5,-0.6,185,420,0.44,62,151,0.411,123,269,0.457,0.514,83,93,0.892,9,116,125,78,21,7,42,104,515
"18","Austin Rivers","LAC",11825000,"SG",24,74,29,2054,11.4,0.545,0.409,0.261,1.1,7.5,4.4,15,1.2,0.4,12.4,20.3,1.2,1.3,2.5,0.059,-0.1,-1.5,-1.6,0.2,323,731,0.442,111,299,0.371,212,432,0.491,0.518,132,191,0.691,20,141,161,204,48,10,115,187,889
"19","Axel Toupane","NOP",25000,"SF",24,2,0,41,8.6,0.688,0.375,0,0,2.6,1.3,0,1.2,2,0,8.6,0.1,0,0.1,0.098,-1.9,-0.6,-2.5,0,5,8,0.625,1,3,0.333,4,5,0.8,0.688,0,0,NA,0,1,1,0,1,1,0,5,11
"20","Beno Udrih","DET",25000,"PG",34,39,0,560,16.1,0.535,0.162,0.173,1.1,10.3,5.6,35.4,1.2,0,14.9,19.7,0.8,0.5,1.3,0.111,-0.5,-2.1,-2.6,-0.1,92,197,0.467,11,32,0.344,81,165,0.491,0.495,32,34,0.941,6,51,57,131,13,0,37,29,227
"21","Bismack Biyombo","ORL",1.7e+07,"C",24,81,27,1793,12.2,0.546,0,0.69,9.3,25.6,17.2,6,0.7,4.1,17.7,13.2,0.8,2.1,2.9,0.077,-4.2,2,-2.2,-0.1,179,339,0.528,0,0,NA,179,339,0.528,0.528,125,234,0.534,157,410,567,74,25,91,95,202,483
"22","Bobby Brown","HOU",1524305,"PG",32,25,0,123,10.8,0.509,0.583,0.033,0,5.3,2.7,17.6,0.4,0,7.6,22.7,0.1,0,0.1,0.04,-1.5,-6.1,-7.6,-0.2,23,60,0.383,14,35,0.4,9,25,0.36,0.5,2,2,1,0,6,6,14,1,0,5,5,62
"23","Bobby Portis","CHI",1516320,"PF",21,64,13,1000,14.9,0.545,0.256,0.157,8,24,16,5.7,0.8,0.9,8.4,19.1,1.1,1.2,2.4,0.114,-1.6,-1.5,-3.1,-0.3,183,375,0.488,32,96,0.333,151,279,0.541,0.531,39,59,0.661,75,221,296,35,16,11,37,94,437
"24","Bradley Beal","WAS",23775506,"SG",23,77,77,2684,20.1,0.604,0.418,0.259,2.2,7.8,5,16.2,1.5,0.7,9.6,26.5,6.8,1.6,8.5,0.151,4.5,-2.4,2.2,2.8,637,1322,0.482,223,552,0.404,414,770,0.538,0.566,282,342,0.825,53,186,239,267,83,21,157,169,1779
"25","Brandan Wright","MEM",5179760,"PF",29,28,5,447,18.5,0.628,0.007,0.259,7.7,12.4,10,6,1.3,4.3,6.2,16.3,1.1,0.5,1.6,0.177,0,1.3,1.3,0.4,83,135,0.615,0,1,0,83,134,0.619,0.615,23,35,0.657,31,47,78,15,11,20,10,42,189
"26","Brandon Ingram","LAL",5519400,"SF",19,79,40,2279,8.5,0.474,0.273,0.312,2.8,12.8,7.6,10.5,1.1,1.3,12.9,16.8,-1,0.7,-0.3,-0.007,-3.1,-0.7,-3.8,-1.1,276,686,0.402,55,187,0.294,221,499,0.443,0.442,133,214,0.621,60,257,317,166,50,36,116,158,740
"27","Brandon Knight","PHO",13618750,"SG",25,54,5,1140,12.3,0.502,0.265,0.293,2.3,9.1,5.6,17.8,1.1,0.4,13.1,25,0.1,0.2,0.3,0.013,-1.5,-3,-4.5,-0.7,209,525,0.398,45,139,0.324,164,386,0.425,0.441,132,154,0.857,25,93,118,130,27,5,89,87,595
"28","Bryn Forbes","SAS",1312611,"SG",23,36,0,285,5.9,0.462,0.535,0.061,0.8,8.2,4.6,11.7,0.2,0,9.8,17.9,-0.2,0.2,0.1,0.014,-3.2,-2.8,-6,-0.3,36,99,0.364,17,53,0.321,19,46,0.413,0.449,5,6,0.833,2,21,23,23,1,0,11,20,94
"29","Buddy Hield","SAC",3675480,"SG",23,25,18,727,14.9,0.6,0.466,0.145,2.6,13.6,8.2,10.3,1.4,0.3,14.4,22.9,0.4,0.4,0.8,0.053,0.8,-2.2,-1.5,0.1,142,296,0.48,59,138,0.428,83,158,0.525,0.579,35,43,0.814,16,87,103,44,20,2,53,34,378
"30","C.J. McCollum","POR",23962573,"SG",25,80,80,2796,19.9,0.585,0.305,0.204,2.4,9.2,5.8,18,1.3,1.2,9.9,27.5,6.2,1.4,7.6,0.131,3.3,-2.2,1,2.1,692,1441,0.48,185,440,0.42,507,1001,0.506,0.544,268,294,0.912,60,231,291,285,72,42,172,202,1837
"31","C.J. Watson","ORL",333334,"PG",32,62,9,1012,9.3,0.507,0.423,0.266,1.7,8.1,4.8,16.1,2.1,0.2,14.5,14.1,0.2,0.6,0.9,0.041,-2.5,-1.1,-3.6,-0.4,96,248,0.387,32,105,0.305,64,143,0.448,0.452,57,66,0.864,16,73,89,114,43,2,47,84,281
"32","Cameron Payne","CHI",2203440,"PG",22,11,0,142,4,0.417,0.54,0.063,0.8,12.2,6.5,16.2,1.4,0,16.7,23.9,-0.4,0.1,-0.3,-0.087,-5,-2.5,-7.5,-0.2,21,63,0.333,11,34,0.324,10,29,0.345,0.421,1,4,0.25,1,16,17,15,4,0,13,14,54
"33","Caris LeVert","BRK",1632480,"SF",22,57,26,1237,12.2,0.556,0.484,0.245,2,13.9,8,13.7,1.9,0.5,12.3,16.6,0.8,1,1.8,0.07,-0.7,-0.4,-1.1,0.3,171,380,0.45,59,184,0.321,112,196,0.571,0.528,67,93,0.72,23,165,188,110,49,8,59,91,468
"34","Chandler Parsons","MEM",23112004,"SF",28,34,34,675,7.6,0.436,0.419,0.194,1,13.6,7.1,12.8,1.5,0.7,9.1,17.8,-0.5,0.7,0.2,0.016,-3.6,-0.5,-4,-0.3,75,222,0.338,25,93,0.269,50,129,0.388,0.394,35,43,0.814,6,78,84,55,20,5,24,52,210
"35","Chasson Randle","NYK",1312611,"PG",23,18,0,225,12.3,0.555,0.444,0.431,2.9,10.1,6.5,18,1.3,0.4,15.7,19.6,0.3,0.1,0.4,0.075,-0.5,-3,-3.4,-0.1,28,72,0.389,10,32,0.313,18,40,0.45,0.458,29,31,0.935,6,21,27,28,6,1,16,28,95
"36","Cheick Diallo","NOP",1312611,"PF",20,17,0,199,16.8,0.51,0,0.276,12.1,26.7,19.3,3.2,1,2.9,7.6,20.5,0.2,0.3,0.5,0.111,-4.6,-1,-5.6,-0.2,36,76,0.474,0,0,NA,36,76,0.474,0.474,15,21,0.714,23,50,73,4,4,7,7,17,87
"37","Chinanu Onuaku","HOU",1312611,"C",20,5,1,52,12.3,0.799,0,0.571,4.2,16.8,10.5,7.8,2.8,1.6,31.3,10.4,0.1,0.1,0.1,0.123,-2.4,1.8,-0.6,0,5,7,0.714,0,0,NA,5,7,0.714,0.714,4,4,1,2,8,10,3,3,1,4,6,14
"38","Chris McCullough","WAS",1471382,"PF",21,2,0,8,1.1,0.266,1,2,0,28.1,14.1,0,6.2,0,34.7,15.7,0,0,0,-0.163,-11.8,0.3,-11.5,0,0,1,0,0,1,0,0,0,NA,0,1,2,0.5,0,2,2,0,1,0,1,0,1
